Key,File,Type,UsedInMainMenu,NoTranslate,english,french,german,spanish,italian,polish,brazilian,russian,turkish
a7esc_tab_situation,,UI,,,Situation,Situation,Lage,Situación,Situazione,Sytuacja,Situação,Обстановка,Durum
a7esc_tab_escape,,UI,,,The Escape,L'Évasion,Die Flucht,La Huida,La Fuga,Ucieczka,A Fuga,Побег,Kaçış
a7esc_tab_tips,,UI,,,Stay Alive,Rester en vie,Am Leben bleiben,Sigue con vida,Resta Vivo,Przetrwaj,Fique Vivo,Выживание,Hayatta Kal
a7esc_header_title,,UI,,,AREA 7 SURVIVAL GUIDE,AREA 7 SURVIVAL GUIDE,AREA 7 SURVIVAL GUIDE,AREA 7 SURVIVAL GUIDE,GUIDA ALLA SOPRAVVIVENZA AREA 7,PORADNIK PRZETRWANIA AREA 7,GUIA DE SOBREVIVÊNCIA AREA 7,РУКОВОДСТВО ПО ВЫЖИВАНИЮ AREA 7,AREA 7 HAYATTA KALMA REHBERİ
a7esc_header_motto,,UI,,,Operation Exodus - Northern Command,Operation Exodus - Northern Command,Operation Exodus - Northern Command,Operation Exodus - Northern Command,Operazione Exodus - Comando Nord,Operacja Exodus - Dowództwo Północne,Operação Êxodo - Comando Norte,Операция «Исход» - Северное командование,Exodus Harekâtı - Kuzey Komutanlığı
a7esc_situation_title,,UI,,,[EDE100]Situation[-],[EDE100]Situation[-],[EDE100]Lage[-],[EDE100]Situación[-],[EDE100]Situazione[-],[EDE100]Sytuacja[-],[EDE100]Situação[-],[EDE100]Обстановка[-],[EDE100]Durum[-]
a7esc_situation_body,,UI,,,"You've made it through the gates and regained consciousness just as your radiation protection wears off. The surrounding area is [cd5c5c]lethally irradiated[-] and entering it without protection means [cd5c5c]DEATH[-]. The facility is your only safe zone.\n\nThis was a top-secret military research facility. God knows what they were researching or what samples are loose inside now.\n\nComplete challenges to unlock equipment. Make and then deploy the emergency transmitter to call for a supply drop - this triggers a [cd5c5c]massive blood moon horde at 10pm[-] and also awakens some [cd5c5c]Zombies in the Bunker[-]. The airdrop arrives at [cd5c5c]first light[-] with your Extraction vehicle and Radiation Respirator. You can always make a smoothie if you don't want to wait.\n\nYour vehicle depends on your qualifications. Read magazines and level Grease Monkey. If Command are out of Vehicles to send you might get [cd5c5c]nothing but an IOU[-] - craft your own as backup.\n\nCamp Frilsville is out there, somewhere. Deploy the transmitter and its coordinates appear on your map. Hugh has your extraction paperwork. Find him at Camp Frilsville. Get and read the order and a Chopper will be sent to your location.\n\nYou're a survivor who got lucky. [cd5c5c]Make it count.[-]","Vous avez franchi les portes et repris connaissance juste au moment où votre protection anti-radiations s'épuise. La zone alentour est [cd5c5c]mortellement irradiée[-] et y entrer sans protection signifie la [cd5c5c]MORT[-]. L'installation est votre seule zone sûre.\n\nC'était une installation de recherche militaire top secrète. Dieu seul sait ce qu'ils y étudiaient, ni quels échantillons sont désormais en liberté à l'intérieur.\n\nTerminez des défis pour débloquer de l'équipement. Fabriquez puis déployez l'Emergency Transmitter pour demander un largage - cela déclenche une [cd5c5c]énorme horde de lune de sang à 22h[-] et réveille aussi certains [cd5c5c]zombies du Bunker[-]. Le largage arrive à [cd5c5c]l'aube[-] avec votre véhicule d'extraction et votre Radiation Respirator. Vous pouvez toujours préparer un smoothie si vous ne voulez pas attendre.\n\nVotre véhicule dépend de vos qualifications. Lisez des magazines et montez Grease Monkey. Si Command n'a plus de véhicules à envoyer, vous pourriez ne recevoir [cd5c5c]qu'un IOU[-] - fabriquez le vôtre en secours.\n\nCamp Frilsville se trouve quelque part là-dehors. Déployez le transmitter et ses coordonnées apparaissent sur votre carte. Hugh détient vos papiers d'extraction. Trouvez-le à Camp Frilsville. Récupérez et lisez l'ordre, et un Chopper sera envoyé à votre position.\n\nVous êtes un survivant qui a eu de la chance. [cd5c5c]Qu'elle compte.[-]","Du hast es durch die Tore geschafft und kommst wieder zu Bewusstsein, gerade als dein Strahlenschutz nachlässt. Die Umgebung ist [cd5c5c]tödlich verstrahlt[-], und sie ohne Schutz zu betreten bedeutet den [cd5c5c]TOD[-]. Die Anlage ist deine einzige sichere Zone.\n\nDies war eine streng geheime militärische Forschungsanlage. Gott weiß, woran sie geforscht haben oder welche Proben jetzt dort drinnen frei herumlaufen.\n\nSchließe Herausforderungen ab, um Ausrüstung freizuschalten. Baue und platziere den Emergency Transmitter, um einen Versorgungsabwurf anzufordern - das löst eine [cd5c5c]gewaltige Blutmond-Horde um 22 Uhr[-] aus und weckt auch einige [cd5c5c]Zombies im Bunker[-]. Der Abwurf trifft bei [cd5c5c]Tagesanbruch[-] mit deinem Extraktionsfahrzeug und deinem Radiation Respirator ein. Du kannst immer noch einen Smoothie machen, wenn du nicht warten willst.\n\nDein Fahrzeug hängt von deinen Qualifikationen ab. Lies Magazine und steigere Grease Monkey. Wenn Command keine Fahrzeuge mehr schicken kann, bekommst du vielleicht [cd5c5c]nur einen IOU[-] - baue als Reserve dein eigenes.\n\nCamp Frilsville ist irgendwo dort draußen. Platziere den Transmitter, und seine Koordinaten erscheinen auf deiner Karte. Hugh hat deine Extraktionspapiere. Finde ihn in Camp Frilsville. Hol dir den Befehl und lies ihn, dann wird ein Chopper an deine Position geschickt.\n\nDu bist ein Überlebender, der Glück hatte. [cd5c5c]Nutze es.[-]","Has cruzado las puertas y recuperas el conocimiento justo cuando tu protección contra la radiación se agota. La zona circundante está [cd5c5c]letalmente irradiada[-] y entrar en ella sin protección significa la [cd5c5c]MUERTE[-]. La instalación es tu única zona segura.\n\nEsto era una instalación de investigación militar de alto secreto. Dios sabe qué investigaban o qué muestras andan sueltas ahora dentro.\n\nCompleta desafíos para desbloquear equipo. Fabrica y despliega el Emergency Transmitter para pedir un suministro aéreo - esto provoca una [cd5c5c]enorme horda de luna de sangre a las 22:00[-] y también despierta a algunos [cd5c5c]zombis del Bunker[-]. El suministro llega al [cd5c5c]amanecer[-] con tu vehículo de extracción y tu Radiation Respirator. Siempre puedes hacerte un batido si no quieres esperar.\n\nTu vehículo depende de tus cualificaciones. Lee revistas y sube Grease Monkey. Si Command se queda sin vehículos que enviar, podrías recibir [cd5c5c]solo un IOU[-] - fabrica el tuyo como respaldo.\n\nCamp Frilsville está ahí fuera, en alguna parte. Despliega el transmitter y sus coordenadas aparecen en tu mapa. Hugh tiene tus papeles de extracción. Encuéntralo en Camp Frilsville. Consigue y lee la orden, y se enviará un Chopper a tu posición.\n\nEres un superviviente que tuvo suerte. [cd5c5c]Que cuente.[-]","Hai superato i cancelli e hai ripreso conoscenza proprio mentre la tua protezione dalle radiazioni si esaurisce. La zona circostante è [cd5c5c]letalmente irradiata[-] ed entrarvi senza protezione significa [cd5c5c]MORTE[-]. La struttura è la tua unica zona sicura.\n\nQuesta era una struttura di ricerca militare top secret. Dio solo sa cosa stessero studiando o quali campioni siano ora a piede libero là dentro.\n\nCompleta le sfide per sbloccare equipaggiamento. Costruisci e poi attiva il trasmettitore d'emergenza per chiedere un rifornimento aereo: questo scatena una [cd5c5c]enorme orda della luna di sangue alle 22:00[-] e risveglia anche alcuni [cd5c5c]zombie nel bunker[-]. Il rifornimento arriva alle [cd5c5c]prime luci[-] con il tuo veicolo per l'estrazione e il Respiratore Antiradiazioni. Puoi sempre prepararti uno smoothie se non vuoi aspettare.\n\nIl tuo veicolo dipende dalle tue qualifiche. Leggi le riviste e sali di livello in Meccanico. Se il Comando ha finito i veicoli potresti ricevere [cd5c5c]solo un pagherò[-]: costruiscitene uno di riserva.\n\nCamp Frilsville è là fuori, da qualche parte. Attiva il trasmettitore e le sue coordinate compariranno sulla mappa. Hugh ha i tuoi documenti di estrazione. Trovalo a Camp Frilsville. Ritira e leggi l'ordine e un elicottero sarà inviato alla tua posizione.\n\nSei un sopravvissuto che ha avuto fortuna. [cd5c5c]Falla fruttare.[-]","Przeszedłeś przez bramy i odzyskałeś przytomność dokładnie wtedy, gdy twoja ochrona przed promieniowaniem się kończy. Okolica jest [cd5c5c]śmiertelnie napromieniowana[-], a wejście tam bez ochrony oznacza [cd5c5c]ŚMIERĆ[-]. Obiekt to twoja jedyna bezpieczna strefa.\n\nTo był ściśle tajny wojskowy ośrodek badawczy. Bóg jeden wie, co tu badali i jakie próbki są teraz na wolności w środku.\n\nUkończ wyzwania, by odblokować sprzęt. Zbuduj, a potem uruchom nadajnik awaryjny, by wezwać zrzut zaopatrzenia — to wywoła [cd5c5c]potężną hordę krwawego księżyca o 22:00[-] i obudzi także część [cd5c5c]zombie w bunkrze[-]. Zrzut nadejdzie o [cd5c5c]świcie[-] z twoim pojazdem ewakuacyjnym i Respiratorem Przeciwradiacyjnym. Zawsze możesz zrobić sobie koktajl, jeśli nie chcesz czekać.\n\nTwój pojazd zależy od twoich kwalifikacji. Czytaj czasopisma i rozwijaj Mechanika. Jeśli Dowództwu skończą się pojazdy, możesz dostać [cd5c5c]tylko rewers[-] — zbuduj własny na zapas.\n\nCamp Frilsville jest gdzieś tam. Uruchom nadajnik, a jego współrzędne pojawią się na mapie. Hugh ma twoje dokumenty ewakuacyjne. Znajdź go w Camp Frilsville. Odbierz i przeczytaj rozkaz, a śmigłowiec zostanie wysłany po ciebie.\n\nJesteś ocalałym, który miał szczęście. [cd5c5c]Wykorzystaj to.[-]","Você atravessou os portões e recobrou a consciência justamente quando sua proteção contra radiação se esgota. A área ao redor está [cd5c5c]letalmente irradiada[-] e entrar nela sem proteção significa [cd5c5c]MORTE[-]. A instalação é sua única zona segura.\n\nIsto era uma instalação militar de pesquisa ultrassecreta. Só Deus sabe o que pesquisavam aqui ou quais amostras estão soltas lá dentro agora.\n\nComplete os desafios para liberar equipamento. Fabrique e depois instale o transmissor de emergência para pedir um suprimento aéreo: isso provoca uma [cd5c5c]horda gigantesca da lua de sangue às 22h[-] e também desperta alguns [cd5c5c]zumbis no búnquer[-]. O suprimento chega às [cd5c5c]primeiras luzes[-] com seu veículo de extração e o Respirador Antirradiação. Se não quiser esperar, sempre dá para fazer um smoothie.\n\nSeu veículo depende das suas qualificações. Leia revistas e suba Mecânico. Se o Comando estiver sem veículos, você pode receber [cd5c5c]apenas uma promissória[-] — fabrique o seu como reserva.\n\nCamp Frilsville está lá fora, em algum lugar. Instale o transmissor e as coordenadas aparecerão no seu mapa. Hugh está com sua papelada de extração. Encontre-o em Camp Frilsville. Pegue e leia a ordem e um helicóptero será enviado até você.\n\nVocê é um sobrevivente que teve sorte. [cd5c5c]Faça valer a pena.[-]","Вы прошли ворота и пришли в себя ровно тогда, когда ваша противорадиационная защита иссякает. Территория вокруг [cd5c5c]смертельно заражена[-], и войти туда без защиты означает [cd5c5c]СМЕРТЬ[-]. Комплекс — ваша единственная безопасная зона.\n\nЗдесь был сверхсекретный военный исследовательский центр. Одному богу известно, что они изучали и какие образцы теперь разгуливают внутри.\n\nПроходите испытания, чтобы открыть снаряжение. Соберите, а затем разверните аварийный передатчик, чтобы вызвать авиасброс: это вызовет [cd5c5c]огромную орду кровавой луны в 22:00[-], а также разбудит часть [cd5c5c]зомби в бункере[-]. Сброс прибудет на [cd5c5c]рассвете[-] с вашим транспортом для эвакуации и Респиратором. А если ждать не хочется, всегда можно сделать смузи.\n\nТранспорт зависит от вашей квалификации. Читайте журналы и качайте «Механика». Если у Командования не останется машин, вам достанется [cd5c5c]одна лишь расписка[-] — соберите свою на запас.\n\nCamp Frilsville где-то там. Разверните передатчик, и его координаты появятся на карте. У Хью ваши документы на эвакуацию. Найдите его в Camp Frilsville. Получите и прочтите приказ, и за вами вышлют вертолёт.\n\nВы выживший, которому повезло. [cd5c5c]Не растратьте это впустую.[-]","Kapılardan geçtin ve radyasyon korumanın tam tükendiği anda kendine geldin. Çevredeki bölge [cd5c5c]ölümcül düzeyde radyasyonlu[-] ve korumasız girmek [cd5c5c]ÖLÜM[-] demek. Tesis tek güvenli bölgen.\n\nBurası çok gizli bir askerî araştırma tesisiydi. Ne araştırdıklarını ya da içeride şu an hangi numunelerin başıboş dolaştığını Tanrı bilir.\n\nEkipman açmak için görevleri tamamla. Hava ikmali çağırmak için acil durum vericisini üret ve konuşlandır: bu [cd5c5c]22:00'de devasa bir kanlı ay sürüsünü[-] tetikler ve ayrıca [cd5c5c]sığınaktaki bazı zombileri[-] uyandırır. İkmal, [cd5c5c]ilk ışıkta[-] tahliye aracın ve Radyasyon Solunum Cihazınla birlikte gelir. Beklemek istemezsen her zaman bir smoothie yapabilirsin.\n\nAracın niteliklerine bağlı. Dergileri oku ve Motor Ustası'nı geliştir. Komutanlığın gönderecek aracı kalmadıysa elinde [cd5c5c]bir senetten başka bir şey kalmayabilir[-] — yedek olarak kendi aracını üret.\n\nCamp Frilsville dışarıda bir yerde. Vericiyi konuşlandır, koordinatları haritanda belirsin. Tahliye evrakların Hugh'da. Onu Camp Frilsville'de bul. Emri al ve oku, konumuna bir helikopter gönderilecek.\n\nSen şansı yaver giden bir hayatta kalansın. [cd5c5c]Bunu boşa harcama.[-]"
a7esc_escape_title,,UI,,,[EDE100]The Escape[-],[EDE100]L'Évasion[-],[EDE100]Die Flucht[-],[EDE100]La Huida[-],[EDE100]La Fuga[-],[EDE100]Ucieczka[-],[EDE100]A Fuga[-],[EDE100]Побег[-],[EDE100]Kaçış[-]
a7esc_escape_body,,UI,,,"[EDE100]1:[-] Build and deploy the [cd5c5c]Emergency Transmitter[-]. Gather the parts, craft it, then place it [cd5c5c]above ground[-] to send the signal.\n\n[EDE100]2:[-] Deploying the transmitter reveals [cd5c5c]Camp Frilsville's coordinates[-] on your map, and Command may airdrop a vehicle to help you reach it. Warning: it also calls a [cd5c5c]blood moon horde at 10pm[-] that night, and the airdrop only arrives at [cd5c5c]first light (4am)[-] the next morning.\n\n[EDE100]3:[-] Don't want to wait out the horde? Craft some [cd5c5c]Fallout Flushes[-] and travel on foot, or build your own vehicle. If Command are out of vehicles you get [cd5c5c]nothing but an IOU[-], so a backup vehicle is wise.\n\n[EDE100]4:[-] Reach [cd5c5c]Camp Frilsville[-] and clear out the zombies there. Find [cd5c5c]Hugh[-] and get your [cd5c5c]Extraction Order[-] from him.\n\n[EDE100]5:[-] [cd5c5c]Read the Extraction Order[-]. This dispatches a Chopper to your location. Board it when it arrives - Joel and Bob will fly you out.","[EDE100]1:[-] Fabriquez puis déployez l'[cd5c5c]Emergency Transmitter[-]. Rassemblez les pièces, fabriquez-le, puis placez-le [cd5c5c]en surface[-] pour envoyer le signal.\n\n[EDE100]2:[-] Déployer le transmitter révèle les [cd5c5c]coordonnées de Camp Frilsville[-] sur votre carte, et Command peut larguer un véhicule pour vous aider à l'atteindre. Attention : cela déclenche aussi une [cd5c5c]horde de lune de sang à 22h[-] cette nuit-là, et le largage n'arrive qu'à [cd5c5c]l'aube (4h)[-] le lendemain matin.\n\n[EDE100]3:[-] Vous ne voulez pas attendre la horde ? Fabriquez des [cd5c5c]Fallout Flushes[-] et partez à pied, ou construisez votre propre véhicule. Si Command n'a plus de véhicules, vous recevez [cd5c5c]seulement un IOU[-], donc un véhicule de secours est judicieux.\n\n[EDE100]4:[-] Atteignez [cd5c5c]Camp Frilsville[-] et éliminez les zombies sur place. Trouvez [cd5c5c]Hugh[-] et récupérez votre [cd5c5c]Extraction Order[-] auprès de lui.\n\n[EDE100]5:[-] [cd5c5c]Lisez l'Extraction Order[-]. Cela envoie un Chopper à votre position. Montez à bord à son arrivée - Joel et Bob vous feront évacuer.","[EDE100]1:[-] Baue und platziere den [cd5c5c]Emergency Transmitter[-]. Sammle die Teile, stelle ihn her und platziere ihn dann [cd5c5c]über der Erde[-], um das Signal zu senden.\n\n[EDE100]2:[-] Das Platzieren des Transmitters enthüllt die [cd5c5c]Koordinaten von Camp Frilsville[-] auf deiner Karte, und Command wirft möglicherweise ein Fahrzeug ab, damit du es erreichst. Warnung: Es ruft in dieser Nacht auch eine [cd5c5c]Blutmond-Horde um 22 Uhr[-] herbei, und der Abwurf trifft erst bei [cd5c5c]Tagesanbruch (4 Uhr)[-] am nächsten Morgen ein.\n\n[EDE100]3:[-] Willst du die Horde nicht abwarten? Stelle [cd5c5c]Fallout Flushes[-] her und geh zu Fuß, oder baue dein eigenes Fahrzeug. Wenn Command keine Fahrzeuge mehr hat, bekommst du [cd5c5c]nur einen IOU[-], ein Ersatzfahrzeug ist also klug.\n\n[EDE100]4:[-] Erreiche [cd5c5c]Camp Frilsville[-] und räume die Zombies dort aus. Finde [cd5c5c]Hugh[-] und hol dir deinen [cd5c5c]Extraction Order[-] bei ihm.\n\n[EDE100]5:[-] [cd5c5c]Lies den Extraction Order[-]. Das schickt einen Chopper an deine Position. Steig ein, wenn er ankommt - Joel und Bob fliegen dich raus.","[EDE100]1:[-] Fabrica y despliega el [cd5c5c]Emergency Transmitter[-]. Reúne las piezas, fabrícalo y luego colócalo [cd5c5c]sobre el suelo[-] para enviar la señal.\n\n[EDE100]2:[-] Desplegar el transmitter revela las [cd5c5c]coordenadas de Camp Frilsville[-] en tu mapa, y Command puede lanzar un vehículo para ayudarte a llegar. Advertencia: también provoca una [cd5c5c]horda de luna de sangre a las 22:00[-] esa noche, y el suministro no llega hasta el [cd5c5c]amanecer (4:00)[-] de la mañana siguiente.\n\n[EDE100]3:[-] ¿No quieres esperar a la horda? Fabrica unos [cd5c5c]Fallout Flushes[-] y viaja a pie, o construye tu propio vehículo. Si Command se queda sin vehículos, recibes [cd5c5c]solo un IOU[-], así que un vehículo de respaldo es prudente.\n\n[EDE100]4:[-] Llega a [cd5c5c]Camp Frilsville[-] y elimina a los zombis de allí. Encuentra a [cd5c5c]Hugh[-] y consigue tu [cd5c5c]Extraction Order[-] de él.\n\n[EDE100]5:[-] [cd5c5c]Lee la Extraction Order[-]. Esto envía un Chopper a tu posición. Súbete cuando llegue - Joel y Bob te sacarán volando.","[EDE100]1:[-] Costruisci e attiva il [cd5c5c]Trasmettitore d'Emergenza[-]. Raccogli i pezzi, fabbricalo, poi piazzalo [cd5c5c]in superficie[-] per inviare il segnale.\n\n[EDE100]2:[-] Attivare il trasmettitore rivela le [cd5c5c]coordinate di Camp Frilsville[-] sulla mappa, e il Comando potrebbe paracadutarti un veicolo per raggiungerlo. Attenzione: richiama anche una [cd5c5c]orda della luna di sangue alle 22:00[-] quella notte, e il rifornimento arriva solo alle [cd5c5c]prime luci (04:00)[-] del mattino dopo.\n\n[EDE100]3:[-] Non vuoi aspettare l'orda? Fabbrica qualche [cd5c5c]Soluzione anti-radiazioni[-] e viaggia a piedi, oppure costruisci il tuo veicolo. Se il Comando ha finito i veicoli ricevi [cd5c5c]solo un pagherò[-], quindi un veicolo di riserva è saggio.\n\n[EDE100]4:[-] Raggiungi [cd5c5c]Camp Frilsville[-] e ripulisci gli zombie sul posto. Trova [cd5c5c]Hugh[-] e fatti dare il tuo [cd5c5c]Ordine di Estrazione[-].\n\n[EDE100]5:[-] [cd5c5c]Leggi l'Ordine di Estrazione[-]. Questo invia un elicottero alla tua posizione. Salici quando arriva: Joel e Bob ti porteranno via.","[EDE100]1:[-] Zbuduj i uruchom [cd5c5c]Nadajnik Awaryjny[-]. Zbierz części, wytwórz go, a potem postaw [cd5c5c]na powierzchni[-], by nadać sygnał.\n\n[EDE100]2:[-] Uruchomienie nadajnika odkrywa [cd5c5c]współrzędne Camp Frilsville[-] na mapie, a Dowództwo może zrzucić pojazd, byś tam dotarł. Uwaga: przywołuje to też [cd5c5c]hordę krwawego księżyca o 22:00[-] tej nocy, a zrzut przychodzi dopiero o [cd5c5c]świcie (04:00)[-] następnego ranka.\n\n[EDE100]3:[-] Nie chcesz przeczekiwać hordy? Wytwórz kilka [cd5c5c]Nuklearnych wywarów[-] i ruszaj pieszo albo zbuduj własny pojazd. Jeśli Dowództwu skończą się pojazdy, dostaniesz [cd5c5c]tylko rewers[-], więc zapasowy pojazd to mądry pomysł.\n\n[EDE100]4:[-] Dotrzyj do [cd5c5c]Camp Frilsville[-] i wyczyść tamtejsze zombie. Znajdź [cd5c5c]Hugh[-] i odbierz od niego [cd5c5c]Rozkaz Ewakuacji[-].\n\n[EDE100]5:[-] [cd5c5c]Przeczytaj Rozkaz Ewakuacji[-]. To wysyła śmigłowiec po ciebie. Wsiądź, gdy przyleci — Joel i Bob cię stąd zabiorą.","[EDE100]1:[-] Construa e instale o [cd5c5c]Transmissor de Emergência[-]. Reúna as peças, fabrique-o e coloque-o [cd5c5c]na superfície[-] para enviar o sinal.\n\n[EDE100]2:[-] Instalar o transmissor revela as [cd5c5c]coordenadas de Camp Frilsville[-] no seu mapa, e o Comando pode lançar um veículo de paraquedas para ajudar você a chegar lá. Aviso: isso também chama uma [cd5c5c]horda da lua de sangue às 22h[-] naquela noite, e o suprimento só chega às [cd5c5c]primeiras luzes (4h)[-] da manhã seguinte.\n\n[EDE100]3:[-] Não quer esperar a horda passar? Fabrique alguns [cd5c5c]Antirradiação[-] e vá a pé, ou construa seu próprio veículo. Se o Comando estiver sem veículos, você recebe [cd5c5c]apenas uma promissória[-], então um veículo reserva é sensato.\n\n[EDE100]4:[-] Chegue a [cd5c5c]Camp Frilsville[-] e limpe os zumbis de lá. Encontre [cd5c5c]Hugh[-] e pegue sua [cd5c5c]Ordem de Extração[-] com ele.\n\n[EDE100]5:[-] [cd5c5c]Leia a Ordem de Extração[-]. Isso despacha um helicóptero até você. Embarque quando ele chegar: Joel e Bob vão tirar você daqui.","[EDE100]1:[-] Соберите и разверните [cd5c5c]аварийный передатчик[-]. Найдите детали, изготовьте его, затем установите [cd5c5c]на поверхности[-], чтобы подать сигнал.\n\n[EDE100]2:[-] Развёртывание передатчика открывает [cd5c5c]координаты Camp Frilsville[-] на карте, и Командование может сбросить транспорт, чтобы вы туда добрались. Внимание: это также вызывает [cd5c5c]орду кровавой луны в 22:00[-] той же ночью, а сброс прибудет только на [cd5c5c]рассвете (04:00)[-] следующего утра.\n\n[EDE100]3:[-] Не хотите пережидать орду? Изготовьте несколько [cd5c5c]«Атомных уколов»[-] и идите пешком или соберите собственный транспорт. Если у Командования не останется машин, вы получите [cd5c5c]одну лишь расписку[-], так что запасной транспорт — разумная мысль.\n\n[EDE100]4:[-] Доберитесь до [cd5c5c]Camp Frilsville[-] и зачистите там зомби. Найдите [cd5c5c]Хью[-] и получите у него [cd5c5c]приказ об эвакуации[-].\n\n[EDE100]5:[-] [cd5c5c]Прочтите приказ об эвакуации[-]. Это вышлет вертолёт к вашей позиции. Садитесь на борт, когда он прибудет: Джоэл и Боб вывезут вас.","[EDE100]1:[-] [cd5c5c]Acil Durum Vericisi[-]'ni üret ve konuşlandır. Parçaları topla, üret, sonra sinyali göndermek için [cd5c5c]yer üstüne[-] yerleştir.\n\n[EDE100]2:[-] Vericiyi konuşlandırmak haritanda [cd5c5c]Camp Frilsville'in koordinatlarını[-] açar ve Komutanlık oraya ulaşman için bir araç bırakabilir. Uyarı: bu ayrıca o gece [cd5c5c]22:00'de bir kanlı ay sürüsü[-] çağırır ve ikmal ancak ertesi sabah [cd5c5c]ilk ışıkta (04:00)[-] gelir.\n\n[EDE100]3:[-] Sürüyü beklemek istemiyor musun? Birkaç [cd5c5c]Radyasyon Arındırıcı[-] üret ve yaya git ya da kendi aracını yap. Komutanlığın aracı kalmadıysa [cd5c5c]bir senetten başka bir şey almazsın[-], o yüzden yedek araç akıllıca olur.\n\n[EDE100]4:[-] [cd5c5c]Camp Frilsville[-]'e ulaş ve oradaki zombileri temizle. [cd5c5c]Hugh[-]'u bul ve ondan [cd5c5c]Tahliye Emri[-]'ni al.\n\n[EDE100]5:[-] [cd5c5c]Tahliye Emri'ni oku[-]. Bu, konumuna bir helikopter yollar. Geldiğinde bin — Joel ve Bob seni buradan çıkaracak."
a7esc_tips_title,,UI,,,[EDE100]Stay Alive[-],[EDE100]Rester en vie[-],[EDE100]Am Leben bleiben[-],[EDE100]Sigue con vida[-],[EDE100]Resta Vivo[-],[EDE100]Przetrwaj[-],[EDE100]Fique Vivo[-],[EDE100]Выживание[-],[EDE100]Hayatta Kal[-]
