Key,File,Type,UsedInMainMenu,NoTranslate,english

# ============================================================
# BLOCKS & STRUCTURES
# ============================================================

frilArmyBaseGateDesc,blocks,Block,,,"Camp Frilsville security gate - LOCKED. This gate will only open once an emergency distress signal has been received and verified by base command."
frilArmyBaseGateUnlockedDesc,blocks,Block,,,"Camp Frilsville security gate - UNLOCKED. Emergency signal received. Extraction authorized."

# ============================================================
# ITEMS - NOTES & DOCUMENTS
# ============================================================

noteArea7Rules,items,Item,,,"Area 7 Survival Guide"
noteArea7RulesDesc,items,Item,,,"You wake at Area 7's gates. Your Fallout Flush is nearly spent - radiation surrounds the facility.

Build an Emergency Transmitter. Request an airdrop. Escape to Camp Frilsville - Hugh is waiting."

noteArea7IOU1,items,Item,,,"MILITARY SUPPLY REQUEST FORM"
noteArea7IOU1Desc,items,Item,,,"REQUESTED: Bicycle - DENIED

Pedal-powered vehicles insufficient for hazard zone evacuation.

Supply shortage. Ground evac authorized."

noteArea7IOU2,items,Item,,,"MILITARY SUPPLY REQUEST FORM"
noteArea7IOU2Desc,items,Item,,,"REQUESTED: Minibike - DENIED

Fuel reserves depleted. Motor vehicles unavailable.

Supply shortage. Ground evac authorized."

noteArea7IOU3,items,Item,,,"MILITARY SUPPLY REQUEST FORM"
noteArea7IOU3Desc,items,Item,,,"REQUESTED: Motorcycle - DENIED

All motorcycles allocated to Priority Alpha personnel.

Supply shortage. Ground evac authorized."

noteArea7IOU,items,Item,,,"MILITARY SUPPLY REQUEST FORM"
noteArea7IOUDesc,items,Item,,,"REQUESTED: 4x4 Vehicle - DENIED

Heavy transport reserved for critical cargo operations.

Supply shortage. Ground evac authorized."

noteArea7IOU5,items,Item,,,"MILITARY SUPPLY REQUEST FORM"
noteArea7IOU5Desc,items,Item,,,"REQUESTED: Gyrocopter - DENIED

Airspace compromised by atmospheric interference.

Supply shortage. Ground evac authorized."

# ============================================================
# ITEMS - TRANSMITTER
# ============================================================

satelliteUnitLargeArea7,items,Item,,,"Emergency Transmitter"
satelliteUnitLargeArea7Desc,items,Item,,,"A portable emergency transmitter capable of piercing the radiation interference. Activate to broadcast SOS signal to Camp Frilsville."

# ============================================================
# CHALLENGES - GROUPS
# ============================================================

challengeGroupBasicsArea7,challenges,Challenge,,,"Clear the Area"
challengeGroupBasicsReward,challenges,Challenge,,,"Clear the ground above"

challengeGroupGenerator,challenges,Challenge,,,"Build the Transmitter"
challengeGroupGeneratorReward,challenges,Challenge,,,"Find materials to build a transmitter"

challengeGroupDeploy,challenges,Challenge,,,"Deploy the Transmitter"
challengeGroupDeployReward,challenges,Challenge,,,"Place the transmitter above ground"

challengeGroupEscape,challenges,Challenge,,,"Escape"
challengeGroupEscapeReward,challenges,Challenge,,,"It's time to leave"

# ============================================================
# CHALLENGES - INDIVIDUAL
# ============================================================

# --- Kill Zombies ---
challengeKillZombiesArea7,challenges,Challenge,,,"Clear the Area"
challengeKillZombiesArea7Short,challenges,Challenge,,,"Kill 10 zombies"
challengeKillZombiesArea7Desc,challenges,Challenge,,,"The surface belongs to the dead. Zombie soldiers patrol what was once a secure perimeter. Cut through them before you descend into the facility — or they'll follow you down."

